KEY, volume, high, at, last, quote_unit, low, sell, buy, name, type, base_unit, open, 
cvcinr, 1157351.6, 39.271, 1635955792, 37.231, inr, 36.0, 37.231, 37.151, CVC/INR, SPOT, cvc, 38.375, 
batwrx, 26163.86, 0.665, 1635955793, 0.568, wrx, 0.491, 0.582, 0.569, BAT/WRX, SPOT, bat, 0.665, 
requsdt, 24698.0, 0.22692, 1635955792, 0.21357, usdt, 0.205, 0.21758, 0.21366, REQ/USDT, SPOT, req, 0.21468, 
usdpusdt, 54105.27, 1.0, 1635955793, 0.999, usdt, 0.99, 0.999, 0.996, USDP/USDT, SPOT, usdp, 0.999, 
balinr, 1228.987, 2184.96, 1635955792, 2119.76, inr, 1950.0, 2119.77, 2087.0, BAL/INR, SPOT, bal, 2071.18, 
funusdt, 1045154.0, 0.020612, 1635955792, 0.01955, usdt, 0.01946, 0.01959, 0.0195, FUN/USDT, SPOT, fun, 0.020369, 
dentinr, 188494561.0, 0.63, 1635955791, 0.576, inr, 0.55, 0.578, 0.575, DENT/INR, SPOT, dent, 0.602, 
keepinr, 1850551.0, 59.96, 1635955792, 54.693, inr, 53.5, 54.694, 54.495, KEEP/INR, SPOT, keep, 59.6, 
ctsiusdt, 106769.4, 0.81499, 1635955793, 0.77997, usdt, 0.75601, 0.77679, 0.77121, CTSI/USDT, SPOT, ctsi, 0.7989, 
bcdinr, 0.0, 0.0, 1635955792, 0.0, inr, 0.0, 0.0, 0.0, BCD/INR, SPOT, bcd, 0.0, 
scusdt, 2010150.0, 0.0225, 1635955793, 0.02029, usdt, 0.01985, 0.02039, 0.0203, SC/USDT, SPOT, sc, 0.02193, 
atombtc, 121.74, 0.0005959, 1635955792, 0.0005882, btc, 0.000572, 0.000591, 0.0005853, ATOM/BTC, SPOT, atom, 0.0005872, 
keepusdt, 71192.0, 0.7698, 1635955793, 0.6852, usdt, 0.6756, 0.6929, 0.6854, KEEP/USDT, SPOT, keep, 0.7671, 
tkoinr, 468351.41, 184.01, 1635955792, 164.12, inr, 155.05, 164.12, 164.0, TKO/INR, SPOT, tko, 159.03, 
pushusdt, 6060.68, 2.8054, 1635955793, 2.6742, usdt, 2.6402, 2.7375, 2.64, PUSH/USDT, SPOT, push, 2.8054, 
klayusdt, 13200.0, 1.86, 1635955793, 1.705, usdt, 1.6208, 1.705, 1.7049, KLAY/USDT, SPOT, klay, 1.775, 
dockinr, 6044879.0, 7.3, 1635955792, 6.987, inr, 6.691, 6.987, 6.952, DOCK/INR, SPOT, dock, 6.829, 
shibinr, 654544255381.0, 0.005689, 1635955792, 0.005149, inr, 0.00494, 0.00515, 0.005149, SHIB/INR, SPOT, shib, 0.005354, 
paxgusdt, 0.25755, 1801.0, 1635955793, 1775.63, usdt, 1774.0, 1779.0, 1775.63, PAXG/USDT, SPOT, paxg, 1801.0, 
yfiiwrx, 3.431791, 2846.09, 1635955793, 2276.21, wrx, 1702.0, 2276.21, 1982.0, YFII/WRX, SPOT, yfii, 2500.0, 
iostusdt, 1725953.0, 0.05737, 1635955792, 0.05323, usdt, 0.05009, 0.0533, 0.05293, IOST/USDT, SPOT, iost, 0.05073, 
rayusdt, 5504.7, 13.4, 1635955793, 12.418, usdt, 10.992, 12.62, 12.45, RAY/USDT, SPOT, ray, 11.13, 
xrpinr, 5320921.7, 97.7621, 1635955791, 93.39, inr, 87.1569, 93.39, 93.3, XRP/INR, SPOT, xrp, 87.4897, 
atomusdt, 810.61, 38.05, 1635955792, 36.5, usdt, 35.6, 36.599, 36.47, ATOM/USDT, SPOT, atom, 37.5, 
zilbtc, 37300.0, 0.00000182, 1635955792, 0.00000176, btc, 0.00000173, 0.00000176, 0.00000171, ZIL/BTC, SPOT, zil, 0.00000178, 
alpacainr, 0.0, 0.0, 1635955792, 0.0, inr, 0.0, 0.0, 0.0, ALPACA/INR, SPOT, alpaca, 0.0, 
rsrusdt, 1695214.6, 0.0475, 1635955793, 0.04724, usdt, 0.04, 0.04734, 0.04723, RSR/USDT, SPOT, rsr, 0.0423, 
aliceusdt, 2679.78, 15.32, 1635955793, 13.9, usdt, 13.1902, 14.0299, 13.9001, ALICE/USDT, SPOT, alice, 15.32, 
daiusdt, 0.0, 0.0, 1635955793, 0.0, usdt, 0.0, 0.0, 0.0003, DAI/USDT, SPOT, dai, 0.0, 
cfxusdt, 7672.0, 0.3405, 1635955793, 0.3258, usdt, 0.3198, 0.3259, 0.3258, CFX/USDT, SPOT, cfx, 0.33, 
aaveusdt, 76.258, 328.0, 1635955793, 320.2, usdt, 313.0, 321.1, 319.199, AAVE/USDT, SPOT, aave, 325.6, 
linkwrx, 1668.34, 21.06, 1635955793, 18.62, wrx, 15.5, 18.76, 18.47, LINK/WRX, SPOT, link, 21.06, 
yfiiusdt, 30.018155, 4128.61, 1635955793, 3823.0, usdt, 3733.0, 3861.0, 3823.0, YFII/USDT, SPOT, yfii, 4000.0, 
ankrusdt, 658331.0, 0.139964, 1635955793, 0.12601, usdt, 0.1233, 0.1266, 0.12557, ANKR/USDT, SPOT, ankr, 0.13483, 
jstusdt, 54897.0, 0.09, 1635955793, 0.08432, usdt, 0.082, 0.08432, 0.08359, JST/USDT, SPOT, jst, 0.08772, 
crvusdt, 8344.829, 4.596, 1635955793, 4.208, usdt, 4.03, 4.213, 4.191, CRV/USDT, SPOT, crv, 4.43, 
wrxinr, 40792220.6, 155.06, 1635955791, 133.9, inr, 120.56, 134.0, 133.9, WRX/INR, SPOT, wrx, 121.12, 
bzrxinr, 971243.19, 36.19, 1635955792, 33.808, inr, 33.1, 34.122, 33.747, BZRX/INR, SPOT, bzrx, 36.19, 
oneinr, 0.0, 0.56, 1635955791, 0.56, inr, 0.56, 0.0, 0.56, ONE/INR, SPOT, one, 0.56, 
fttinr, 2752.69, 4888.0, 1635955792, 4830.0, inr, 4650.0, 4830.0, 4813.0, FTT/INR, SPOT, ftt, 4700.0, 
celrbtc, 48570.0, 0.00000196, 1635955792, 0.0000019, btc, 0.00000189, 0.00000193, 0.00000189, CELR/BTC, SPOT, celr, 0.00000195, 
nanousdt, 2697.34, 6.315, 1635955793, 6.002, usdt, 5.944, 6.012, 6.0, NANO/USDT, SPOT, nano, 6.1208, 
1inchusdt, 6270.19, 4.7294, 1635955793, 4.4449, usdt, 4.3201, 4.4449, 4.4207, 1INCH/USDT, SPOT, 1inch, 4.7294, 
uftinr, 265934.88, 83.807, 1635955792, 81.397, inr, 80.21, 81.397, 81.001, UFT/INR, SPOT, uft, 82.0, 
btgusdt, 110.35, 67.5, 1635955793, 64.88, usdt, 63.9, 65.11, 64.88, BTG/USDT, SPOT, btg, 65.05, 
yfiusdt, 0.227864, 35251.64, 1635955793, 34350.75, usdt, 33943.46, 34732.46, 34348.75, YFI/USDT, SPOT, yfi, 34356.66, 
pushinr, 138695.84, 219.6, 1635955792, 211.101, inr, 210.5, 212.968, 211.101, PUSH/INR, SPOT, push, 218.2, 
creamusdt, 299.686, 102.38, 1635955793, 97.066, usdt, 95.0, 97.668, 95.002, CREAM/USDT, SPOT, cream, 101.869, 
dogewrx, 2194267.0, 0.17984, 1635955793, 0.1595, wrx, 0.131, 0.1595, 0.15652, DOGE/WRX, SPOT, doge, 0.17749, 
burgerusdt, 313.2, 4.115, 1635955793, 4.0, usdt, 3.946, 4.0, 3.938, BURGER/USDT, SPOT, burger, 4.087, 
diausdt, 0.0, 0.0, 1635955793, 0.0, usdt, 0.0, 0.0, 0.0, DIA/USDT, SPOT, dia, 0.0, 
dashbtc, 0.279, 0.003195, 1635955792, 0.003052, btc, 0.003098, 0.003207, 0.003145, DASH/BTC, SPOT, dash, 0.003098, 
dogeusdt, 1543670.0, 0.28, 1635955793, 0.2682929, usdt, 0.2640002, 0.2685015, 0.2682929, DOGE/USDT, SPOT, doge, 0.2719357, 
radusdt, 428.2, 12.24, 1635955793, 12.13, usdt, 10.938, 12.04, 11.815, RAD/USDT, SPOT, rad, 11.287, 
iostbtc, 43559.0, 0.00000091, 1635955792, 0.00000082, btc, 0.00000078, 0.00000087, 0.00000084, IOST/BTC, SPOT, iost, 8.0E-7, 
